fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.6;0.45;0.137;4.4;0.039;11;166;1.0;3.45;0.58;8.5;3
8.4;0.609;0.159;4.6;0.033;35;180;0.9984;3.27;0.73;9.9;6
8.8;0.312;0.231;4.2;0.17;24;144;0.9984;3.21;0.87;9.0;3
8.4;0.53;0.138;1.0;0.047;2;80;0.9955;3.29;0.53;9.4;6
7.4;0.612;0.041;2.3;0.102;26;113;0.9971;3.34;0.73;10.8;8
7.6;0.164;0.354;2.4;0.052;25;89;0.9965;3.39;0.53;10.6;7
9.3;0.418;0.19;3.1;0.069;9;72;0.9964;3.2;0.86;10.5;6
7.8;0.556;0.449;1.9;0.114;14;83;0.9966;3.3;0.85;10.7;5
8.2;0.63;0.131;4.3;0.044;16;92;0.9984;3.31;0.5;9.9;4
5.4;0.512;0.181;6.9;0.078;11;167;0.9991;3.6;0.42;11.7;8
6.9;0.308;0.259;3.3;0.093;10;93;0.9975;3.37;0.83;9.5;7
10.3;0.989;0.261;1.2;0.048;32;126;0.9963;3.16;0.62;9.5;3
4.6;0.242;0.127;2.1;0.027;27;182;0.9951;3.47;0.69;10.7;6
7.1;0.465;0.117;1.0;0.099;11;126;0.9951;3.4;1.07;10.8;7
8.7;0.452;0.117;3.0;0.012;27;55;0.9972;3.27;0.46;10.9;8
6.6;0.495;0.434;5.4;0.066;23;151;0.9998;3.36;0.62;9.1;4
9.0;0.4;0.229;3.7;0.081;14;132;0.9985;3.36;0.77;10.1;4
7.8;0.611;0.2;1.2;0.16;13;166;0.9958;3.43;0.71;9.6;3
9.2;0.512;0.453;3.1;0.135;30;69;0.9972;3.27;0.55;9.4;7
5.8;0.47;0.426;3.0;0.083;11;138;0.9976;3.45;0.87;10.5;8
6.7;0.401;0.285;3.8;0.079;2;34;0.9981;3.4;0.37;9.4;3
8.7;0.462;0.343;1.9;0.207;1;76;0.9974;3.27;0.33;10.4;6
7.8;0.442;0.238;3.7;0.084;28;117;0.9962;3.32;0.65;12.3;8
8.6;0.59;0.151;2.8;0.112;31;161;0.9979;3.39;0.4;9.7;6
6.2;0.444;0.263;2.0;0.065;21;75;0.9967;3.45;0.78;10.3;3
7.1;0.793;0.502;2.7;0.082;12;48;0.9949;3.39;0.6;11.4;7
6.7;0.817;0.51;1.9;0.14;17;58;0.9953;3.37;0.75;10.4;7
6.1;0.561;0.212;1.6;0.088;32;174;0.9955;3.44;0.82;10.9;7
7.7;0.316;0.214;1.7;0.077;10;46;0.9965;3.41;0.84;10.7;8
8.5;0.335;0.094;2.4;0.129;19;151;0.9975;3.23;0.63;9.4;4
7.7;0.483;0.318;6.0;0.084;37;61;1.0011;3.37;0.83;9.1;3
6.9;0.371;0.427;2.4;0.146;1;73;0.9966;3.39;0.56;9.1;3
8.7;0.305;0.224;2.4;0.059;18;79;0.9962;3.21;0.66;9.8;5
7.9;0.686;0.21;6.0;0.084;11;144;0.9993;3.34;0.41;11.4;7
8.6;0.758;0.315;2.4;0.075;15;67;0.9975;3.36;0.49;10.8;7
7.2;0.841;0.254;1.2;0.038;7;71;0.995;3.36;0.63;10.9;6
8.4;0.871;0.165;4.3;0.057;5;161;0.9971;3.33;0.75;11.9;6
7.2;0.571;0.079;4.3;0.012;19;81;0.9999;3.36;0.58;8.7;4
7.5;0.609;0.359;3.1;0.142;33;65;0.9969;3.36;0.51;10.3;8
5.5;0.299;0.373;4.9;0.079;3;90;0.9992;3.49;0.76;9.9;8
6.4;1.045;0.694;1.4;0.091;10;158;0.9963;3.39;0.59;8.7;3
7.2;0.628;0.083;2.4;0.179;32;117;0.9972;3.43;0.86;8.5;3
7.5;0.605;0.369;4.3;0.066;11;77;0.9998;3.3;0.71;9.1;3
7.4;0.393;0.451;0.9;0.058;6;49;0.9955;3.32;0.69;9.7;7
7.0;0.481;0.227;5.3;0.103;29;156;1.0007;3.41;0.57;8.9;5
9.7;0.532;0.115;4.0;0.059;4;91;0.9979;3.24;0.64;10.5;4
7.7;0.553;0.266;3.4;0.032;23;57;0.9973;3.38;0.33;10.9;8
8.4;0.39;0.147;3.4;0.044;23;181;0.997;3.26;0.7;11.9;8
5.9;0.666;0.357;2.0;0.083;22;111;0.9976;3.37;0.67;8.8;3
9.4;0.644;0.376;2.8;0.144;1;87;0.998;3.21;0.72;10.5;5
7.7;0.661;0.21;4.4;0.074;16;91;0.9982;3.36;0.39;11.0;8
5.4;0.766;0.138;4.7;0.163;39;160;0.9992;3.51;0.33;10.5;6
6.7;0.573;0.0;0.9;0.129;23;181;0.9959;3.47;0.69;9.4;3
7.0;0.281;0.461;3.6;0.106;1;32;0.9962;3.34;0.81;11.8;8
8.6;0.674;0.274;1.7;0.111;20;102;0.9964;3.35;0.74;9.4;4
9.6;0.654;0.199;3.8;0.077;25;56;0.9993;3.24;0.96;9.2;4
9.2;0.618;0.374;2.0;0.088;6;93;0.996;3.27;0.73;11.0;8
7.1;0.454;0.377;3.3;0.121;13;119;0.9973;3.47;0.71;9.6;7
4.8;0.624;0.376;3.4;0.078;5;160;0.9986;3.47;1.06;10.1;5
8.0;0.695;0.335;1.1;0.126;24;126;0.9943;3.3;0.41;9.9;3
8.5;0.382;0.32;1.5;0.018;18;107;0.9958;3.27;0.49;9.9;3
8.0;0.452;0.452;2.4;0.048;22;170;0.9974;3.29;0.58;9.2;5
6.8;0.471;0.219;2.8;0.029;7;33;0.9959;3.35;0.85;11.9;8
9.5;0.479;0.394;2.6;0.039;15;116;0.9962;3.31;0.5;9.9;4
7.0;0.497;0.3;3.7;0.112;20;171;0.9978;3.37;0.64;11.0;7
6.2;0.542;0.041;3.4;0.073;23;156;0.9961;3.39;0.91;11.7;8
11.6;0.524;0.369;3.5;0.13;23;99;0.998;3.11;0.63;11.0;7
7.2;0.442;0.137;1.7;0.079;9;134;0.9971;3.45;0.68;10.0;6
9.1;0.385;0.303;3.7;0.05;7;112;0.9979;3.31;0.48;9.7;3
8.8;0.261;0.205;4.5;0.105;18;54;0.9978;3.24;0.62;11.1;7
8.3;0.434;0.338;1.0;0.041;1;98;0.9957;3.3;0.33;9.8;6
9.2;0.576;0.357;2.5;0.128;1;91;0.9957;3.31;0.4;10.5;5
7.9;0.819;0.322;2.2;0.118;10;94;0.9954;3.32;0.64;10.3;5
9.9;0.724;0.338;1.2;0.092;13;133;0.997;3.29;0.33;9.5;3
6.6;0.717;0.269;0.9;0.147;1;129;0.9963;3.38;0.86;10.5;5
7.4;0.273;0.314;3.2;0.094;22;50;0.9964;3.37;0.58;11.1;7
6.7;0.481;0.584;4.8;0.082;37;166;0.9961;3.43;0.91;13.2;8
8.7;0.418;0.198;0.9;0.091;1;89;0.9949;3.33;0.54;10.0;3
5.6;0.701;0.376;1.9;0.179;1;66;0.9951;3.48;0.97;12.1;6
5.8;0.589;0.234;2.9;0.06;14;94;0.9968;3.43;0.69;11.2;5
7.0;0.355;0.284;2.3;0.076;30;114;0.9965;3.4;0.83;11.8;8
8.9;0.488;0.238;1.8;0.073;11;161;0.9952;3.34;0.62;11.8;8
7.4;0.398;0.353;2.2;0.059;7;27;0.9967;3.39;0.44;9.9;7
10.2;0.536;0.465;0.9;0.068;18;47;0.995;3.23;0.46;11.4;8
7.3;0.564;0.005;5.7;0.18;23;44;0.9993;3.37;0.82;9.9;3
8.8;0.671;0.147;0.9;0.103;18;143;0.9961;3.28;0.52;9.8;5
8.8;0.717;0.373;0.9;0.055;18;156;0.9951;3.23;0.4;9.9;4
7.9;0.369;0.592;3.6;0.132;12;47;0.996;3.32;0.43;10.5;8
7.6;0.761;0.504;1.2;0.071;9;162;0.9954;3.4;0.4;10.4;6
8.4;0.536;0.316;0.9;0.054;7;85;0.9947;3.3;0.64;9.9;5
9.2;0.399;0.262;3.2;0.041;5;141;0.9971;3.24;0.81;10.3;4
8.2;0.469;0.416;3.3;0.035;19;82;0.9991;3.38;0.65;8.8;3
7.0;0.73;0.213;3.0;0.024;18;147;0.9985;3.4;0.74;10.2;5
8.3;0.386;0.503;3.4;0.073;14;97;0.9964;3.3;0.53;11.4;8
8.6;0.262;0.155;2.7;0.134;35;89;0.9976;3.37;0.75;9.4;8
9.1;0.342;0.495;1.2;0.056;20;98;0.9965;3.3;0.63;9.6;3
7.9;0.66;0.531;6.2;0.075;26;85;0.9991;3.34;0.74;11.1;7
8.5;0.741;0.196;4.5;0.035;19;108;0.9996;3.26;0.68;9.8;4
8.1;0.409;0.332;0.9;0.15;33;53;0.9949;3.33;0.37;9.3;4
6.8;0.495;0.214;2.5;0.15;15;48;0.9964;3.4;0.98;9.4;3
10.8;0.589;0.306;4.4;0.142;27;107;0.9977;3.17;0.76;11.2;8
8.6;0.255;0.257;1.2;0.085;19;67;0.9965;3.33;0.7;9.0;3
8.2;0.12;0.177;2.8;0.12;15;57;0.9964;3.32;0.75;9.7;5
8.6;0.382;0.372;3.1;0.057;25;139;0.996;3.31;0.63;13.5;8
8.6;0.52;0.448;2.8;0.066;34;191;0.997;3.25;0.68;11.7;8
6.7;0.332;0.254;5.2;0.101;16;162;0.9999;3.37;0.58;10.7;6
8.3;0.414;0.294;0.9;0.054;14;129;0.9954;3.34;0.69;10.6;8
8.2;0.488;0.182;1.7;0.075;25;122;0.9961;3.35;0.79;10.7;8
6.7;0.299;0.059;3.8;0.012;17;113;0.9991;3.37;0.5;8.4;3
8.5;0.663;0.336;5.6;0.089;12;170;1.0012;3.31;0.37;10.2;6
9.2;0.486;0.563;2.9;0.08;23;161;0.9963;3.32;0.66;10.7;4
8.8;0.736;0.356;0.9;0.095;14;132;0.9952;3.28;0.87;9.9;8
7.7;0.365;0.277;1.8;0.088;16;109;0.9948;3.37;0.78;12.6;8
7.2;0.125;0.349;1.4;0.14;17;165;0.9978;3.29;0.71;8.4;3
10.5;0.454;0.315;2.2;0.108;29;159;0.9954;3.25;1.01;11.8;8
6.7;0.132;0.296;1.5;0.066;12;74;0.9959;3.3;0.63;9.9;7
7.4;0.986;0.255;4.5;0.098;39;89;0.9991;3.43;0.45;8.4;3
8.2;1.03;0.434;5.2;0.14;24;133;0.9994;3.36;0.8;9.8;5
8.4;0.527;0.275;0.9;0.13;36;125;0.9963;3.36;0.59;9.4;5
9.3;0.323;0.233;1.7;0.156;24;85;0.9949;3.27;0.48;12.6;8
9.6;0.152;0.17;4.2;0.117;7;31;0.9977;3.27;0.53;11.0;7
8.7;0.593;0.361;4.7;0.076;1;58;0.9988;3.32;0.64;11.2;7
7.2;0.398;0.4;1.9;0.144;10;33;0.9963;3.47;0.59;10.8;8
7.4;0.689;0.035;2.7;0.129;22;67;0.9967;3.39;0.78;9.8;4
8.1;0.513;0.327;2.5;0.028;23;118;0.9958;3.24;0.74;11.7;8
8.6;0.35;0.0;1.8;0.012;19;105;0.9953;3.25;0.98;11.4;8
6.3;0.41;0.07;4.3;0.133;29;185;0.9979;3.31;1.09;10.7;8
4.6;0.764;0.059;0.9;0.083;37;184;0.9946;3.57;0.81;10.7;6
9.5;0.742;0.069;1.2;0.053;6;46;0.9959;3.35;0.75;8.9;3
7.3;0.488;0.225;4.3;0.064;24;97;0.9986;3.39;0.43;10.6;7
9.5;0.502;0.228;3.5;0.064;17;165;0.9974;3.27;0.94;10.6;5
7.6;0.726;0.246;1.9;0.102;12;168;0.9956;3.42;0.36;11.0;6
7.1;0.601;0.559;2.4;0.02;28;120;0.9967;3.37;0.43;10.9;7
9.7;0.222;0.373;2.7;0.125;1;55;0.9963;3.2;0.33;11.0;8
6.3;0.459;0.208;3.9;0.094;10;151;0.9981;3.5;0.6;9.7;7
7.9;0.245;0.235;3.9;0.114;27;182;0.9984;3.31;0.81;9.3;4
8.1;0.578;0.002;5.8;0.092;7;28;1.0006;3.29;0.48;10.5;8
6.9;0.372;0.164;3.5;0.086;27;141;0.9986;3.44;0.74;9.6;3
5.4;0.337;0.434;1.5;0.066;18;176;0.9956;3.49;0.7;9.1;7
8.9;0.425;0.43;4.6;0.145;5;137;0.9986;3.21;0.46;9.6;3
4.6;0.509;0.436;2.2;0.094;12;58;0.996;3.46;0.45;10.3;5
9.8;0.371;0.0;2.4;0.131;1;46;0.9963;3.32;0.73;10.7;7
6.9;0.45;0.139;3.7;0.107;15;145;0.9983;3.38;0.51;10.1;8
4.9;0.586;0.0;0.9;0.163;25;115;0.9956;3.54;0.77;9.6;5
7.3;0.577;0.426;0.9;0.05;7;127;0.9945;3.36;0.7;10.5;6
7.8;0.507;0.23;5.0;0.12;30;118;0.9985;3.31;0.67;10.1;3
10.1;0.483;0.3;3.0;0.124;24;160;0.9976;3.19;0.67;11.0;6
7.4;0.365;0.379;3.6;0.066;12;147;0.997;3.31;0.62;11.2;6
10.6;0.685;0.266;3.7;0.065;25;173;0.9983;3.18;1.04;9.9;4
7.7;0.281;0.345;3.8;0.081;13;155;0.9989;3.41;0.65;11.7;7
6.0;0.793;0.3;1.2;0.107;5;46;0.995;3.43;0.6;9.9;7
7.3;0.398;0.202;2.0;0.096;11;131;0.9963;3.4;0.72;10.7;7
9.0;0.4;0.254;2.1;0.055;27;76;0.9956;3.35;0.71;11.2;8
10.3;0.331;0.226;1.8;0.127;22;143;0.996;3.35;0.77;10.8;7
9.5;0.61;0.328;3.7;0.095;18;141;0.9974;3.34;0.52;11.9;8
7.4;0.426;0.163;3.8;0.028;1;34;0.9969;3.45;0.7;9.9;5
9.4;0.711;0.039;0.9;0.03;27;55;0.9948;3.2;0.83;10.9;8
8.6;0.263;0.335;3.8;0.081;17;132;1.0;3.38;0.9;8.4;4
8.9;0.654;0.305;1.6;0.144;8;108;0.9964;3.26;0.4;8.4;3
5.6;0.48;0.465;3.7;0.087;25;139;0.9953;3.43;0.42;11.7;8
8.6;0.713;0.529;4.3;0.022;26;79;0.998;3.31;0.75;10.8;8
7.0;0.595;0.0;3.2;0.012;22;104;0.9966;3.38;0.81;11.2;6
8.9;0.599;0.27;0.9;0.053;11;59;0.9947;3.27;0.85;9.2;4
8.2;0.715;0.063;1.7;0.029;18;138;0.9954;3.37;0.88;11.5;8
4.6;0.463;0.458;2.4;0.075;18;138;0.9963;3.52;0.74;10.3;5
9.3;0.444;0.001;3.2;0.083;11;89;0.9969;3.22;0.95;9.6;3
8.6;0.613;0.247;0.9;0.087;38;175;0.9961;3.33;0.78;9.1;3
5.8;0.382;0.38;3.6;0.02;3;93;0.9974;3.43;0.33;12.3;8
11.7;0.714;0.238;3.5;0.118;10;71;0.9968;3.09;0.39;9.9;3
7.2;0.431;0.176;1.6;0.053;28;185;0.9961;3.38;0.41;8.4;3
8.6;0.397;0.417;0.9;0.062;1;138;0.9967;3.33;0.8;9.9;4
8.7;0.536;0.219;1.6;0.087;10;70;0.9946;3.26;0.66;12.3;8
7.5;0.553;0.202;4.2;0.039;26;124;0.9991;3.38;0.45;10.6;5
6.1;0.167;0.0;4.9;0.121;14;111;0.998;3.39;0.79;10.6;8
5.8;0.759;0.138;1.0;0.033;2;130;0.9947;3.5;0.59;11.1;8
8.3;0.623;0.115;2.4;0.041;21;59;0.9963;3.39;0.55;10.0;6
8.6;0.494;0.316;4.4;0.064;9;109;0.9998;3.29;0.49;9.4;5
8.1;0.582;0.104;2.4;0.07;14;64;0.9958;3.36;0.69;11.3;7
6.1;0.855;0.264;2.7;0.086;10;156;0.9969;3.53;0.5;9.4;3
6.5;0.881;0.419;2.0;0.055;13;160;0.997;3.38;0.73;9.5;7
8.8;0.596;0.45;3.4;0.079;27;48;0.9969;3.31;0.6;11.8;5
7.3;0.559;0.028;2.0;0.155;13;123;0.9969;3.43;0.92;9.8;4
8.5;0.822;0.365;0.9;0.068;17;91;0.9952;3.39;0.79;9.6;5
5.8;0.464;0.072;0.9;0.034;8;38;0.9955;3.43;0.73;10.1;8
9.2;0.353;0.331;1.6;0.049;10;84;0.9949;3.29;0.64;10.7;7
6.4;0.162;0.342;0.9;0.019;33;130;0.9962;3.44;0.58;10.1;3
7.1;0.419;0.52;3.6;0.066;3;94;0.9978;3.41;0.79;10.8;6
9.0;0.813;0.457;0.9;0.204;2;86;0.9957;3.29;0.53;10.1;4
6.2;0.474;0.343;2.1;0.072;1;65;0.9974;3.43;0.41;9.1;5
6.6;0.451;0.202;4.0;0.117;16;67;0.9987;3.4;0.65;9.4;4
4.8;0.355;0.305;1.9;0.135;22;159;0.9956;3.49;0.87;10.7;7
8.4;0.473;0.298;2.6;0.077;15;116;0.997;3.28;0.47;11.2;3
